caption,commentsCount,dimensionsHeight,dimensionsWidth,displayUrl,id,inputUrl,likesCount,ownerId,ownerUsername,shortCode,timestamp,type,url,location,jam_operasional,hashtags,transcript
"View sungai mahakam samarinda nih, disini kalau malam keren banget, ada banyak tenant makanan juga, jadi gak usah takut kelaparan, kalau pengen fastfood tinggal mampir ke mcd ✨

📍 Belakang Mcd drive thru atau samping hotel haris Jl. Untung suropati
🕐 15.00 - 22.00
💰 Variatif

#makanansamarinda #destinasisamarinda #jajanansamarinda #smrfoodies #makanansmr #jalanjalanmakanenaksamarinda",644,1920,1080,https://scontent-mia5-1.cdninstagram.com/v/t51.29350-15/417248191_334830572803790_4898212046183235486_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QE_Yq6vcJAlCC2veisNPHD7YcAZS_PesW27F5Tsgf97XMumiKBsQuqM9msZU7WL2Va1CewzUy5_BgBQ7EFYtIqk&_nc_ohc=1azz3sGcXSsQ7kNvwFeWRcU&_nc_gid=x3UvVTrUopt-4AkLAE6XPw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJwktgIx6WfIrZv8G5wW1gU4kIaiKT7aIyFFXjj764c7A&oe=6830D0B5&_nc_sid=10d13b,3205359613872435728,https://www.instagram.com/jalanjalan.makanenak/,15337,2332659232,jalanjalan.makanenak,Cx7uZYKP_IQ,2023-10-03T10:25:12.000Z,Video,https://www.instagram.com/p/Cx7uZYKP_IQ/,Belakang Mcd drive thru atau samping hotel haris Jl. Untung suropati,15.00 - 22.00,"#makanansamarinda, #destinasisamarinda, #jajanansamarinda, #smrfoodies, #makanansmr, #jalanjalanmakanenaksamarinda"," Aku punya tempat baru untuk menikmati sore dengan view sungai dan juga jembatan mahakam. Sebelumnya, kembali lagi ke Jalan Jalan, makan enak! Aku ada rekometasi tempat asik baru untuk menikmati senjad di Samarinda. Lokasinya ada pas di belakang drive-thru McDonald atau pas di samping hotel Haris Samarinda. Tenangnya banyak, kalian bisa pesan berbagai makanan ada evi charging, pencucuan mobil dan juga kopi coma. Sebelum duduk, aku pesan beberapa makanan dan sembilan untuk menikmati suasana di sini dan sambil melihat kapal wisata, ataupun kapal tongkan berlalu lanap. Langsung aja di sikat, selamat mencoba dan sampai ketemu di video selanjutnya."
"Nemuin lagi nih toko baju impor premium dari bangkok yang lucu lucu dan gemes gemes mulai dari accesories tas sampai yang anggun dan kece juga ada disini, coba intip @wekaistuff & @wekai_beauty buat liat koleksi2 mereka, dan kalau bosen ada juga kopi tozka yang dibuat oleh orang yang addict dengan kopi selama 10 tahun loh ✨

@wekai_beauty x @wekaistuff x Kopi Tozka 
📍 Jl. Aw syahrani deretan gg 45 atau samping animal petshop 

#fashionsamarinda #stylesamarinda #samarindaterkini #bajusamarinda #kopisamarinda #makanansmr #kulinersamarinda",4,1136,640,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/498247121_1368879567897438_7465541888342178299_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QGNY0pST7esGTK_YkkHzW0Zs6M4zx0pNgNoM1cW7ShAkttx3SJTwqU1daA55r9XXYbNNXnknJxxmV7St9Qrase0&_nc_ohc=L47Ml53S9QMQ7kNvwEeUayc&_nc_gid=RoTI_DrlRoFhXVuQfqYKrA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfLxWrO0Uz4YOp_rfXmzmso8F3Rfo9hD5ZM1DpTU--opbw&oe=6830CD20&_nc_sid=10d13b,3634940467797229747,https://www.instagram.com/jalanjalan.makanenak/,71,2332659232,jalanjalan.makanenak,DJx5xjCvwCz,2025-05-18T03:27:10.000Z,Video,https://www.instagram.com/p/DJx5xjCvwCz/,Jl. Aw syahrani deretan gg 45 atau samping animal petshop,,"#fashionsamarinda, #stylesamarinda, #samarindaterkini, #bajusamarinda, #kopisamarinda, #makanansmr, #kulinersamarinda"," senang deh, nungguin lagi tokoh baju-baju impor premium yang koleksinya kebanyakan dari Bangkok ada tas lucu juga aksesori skin care serta koleksi-kolexi cantiknya yang lagi promo diskon 15-30% dan kalau bosan nungguin doi bisa lo sambil ngopi di sini sebelumnya kembali lagi ke jalan-jalan makan enak! ya aku lagi ada di WK Beauty di sini tuh menjual bagaimana produk impor yang lucu-lucu banget mulai dari dres-dresan koleksi baju gemes, kri-top, blow, snow, dres vintage dres bunga-bunga atau cenana trendy yang tetap stylist atau yang anggun, elegan, dan klasik juga tersedia mulai dari jaket, celana gemes dengan berbagai model yang bisa memuduki kebutuhan kamu para wanita yang pengen keren tapi tetap anggun bisa banget nih, mampir kesini ada tas tasan yang sangat variatif juga koleksi aksesoris yang banyak sampai skin care bisa kalian temuin di sini lagi-mereka lagi promo diskon 15-30% untuk pasian kecuali skin care gelang dan aksesoris HP terus tiap hari ada barang sel 35.000 sampai 50.000 rupiah khusus untuk barang-barang tertentu loh dan buat yang nungmenin bisa loh santai di depan sambil menikmati kopi dari kopi toska yang mulai dari 8.000 aja kopi ini tuh dibuat sendiri mulai dari espresso sampai resep-resepnya loh dibuat oleh orang yang edik minum kopi selama kurang lebih 10 tahun dan pastinya memulakan kopi premium warabika asli yang wajib kalian nikmatin beselernya ada di kokonat latte, saldat karamel, dan aren latte udah ada di goh food, grape food, dan sopi food juga nah lokasi tokonya ada di jalan awesah rani dari tenggan 45 atau disamping animal pet shop buka dari jam 9 sampai 10 malam jadi jangan lupa mampir"
"Sate gendut @warungsateusia ini bisa dinominasikan sebagai sate paling jumbo sejauh ini disamarinda yang pernah mimin makan sih, dari dulu rasanya gak berubah bumbu kacang yang gurih ditambah sambal kecapnya yang juara, cobain paket promo mereka juga deh ✨

@warungsateusia 
📍 Jl. Gamelan 
🕐 12.00 - 22.00 

#makanansmr #satesamarinda #kulinersamarinda #smrfoodies #foodsamarinda #warungsamarinda #makanansamarinda #jalanjalanmakanenaksamarinda",2,1136,640,https://instagram.fplu35-1.fna.fbcdn.net/v/t51.2885-15/498521749_697316836003598_7491029438365714770_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fplu35-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QH3Y69i4_D7gkmJnmFZ0UQ8WdYIjaXPNdm0zsUujJ3DAly-AXFvzBTFo4KNmwEYMFQ&_nc_ohc=QoAcvdKKssAQ7kNvwFxT_-h&_nc_gid=pWS46ijlN-9A_U-O41xBxg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJkx_m20i330l9wUdsaBxNmgSjV-wvjIMQ7Ulo83rRVbQ&oe=6830D41E&_nc_sid=10d13b,3633528050764654900,https://www.instagram.com/jalanjalan.makanenak/,229,2332659232,jalanjalan.makanenak,DJs4oLLPqk0,2025-05-16T04:41:19.000Z,Video,https://www.instagram.com/p/DJs4oLLPqk0/,Jl. Gamelan,12.00 - 22.00,"#makanansmr, #satesamarinda, #kulinersamarinda, #smrfoodies, #foodsamarinda, #warungsamarinda, #makanansamarinda, #jalanjalanmakanenaksamarinda"," No nyari satai gendut ukuran besar sebesar harapan orang tuamu, satai ini adalah solusinya, ukurannya jumbo dan ada paket murmur yang gak boleh kamu lewatkan. Sebelumnya, kembali lagi ke Jalan Jalan, MAKAN ENAK! Ya, ini dia rumah satai usia. Sekarang mereka cuma punya satu cabang, yaitu di Jalan Gamelan, tempatnya lebih luas, lebih nyaman, dan cocok buat ramean bareng teman-teman. Yang unik di sini tuh satai nya beneran gendut-gendut, manis gurih gitu. Serta paketannya juga terjangkau banget loh. Cuma dengan 23.000 rupiah, kamu udah bisa dapetin paket satai, ayam campur lengkap dengan ST juga. Atinya empuk, dimakan barengan dengan sambal kecapnya, atau dicocol ke bumbu kacangnya. Dua-duanya bisa jadi opsi buat kamu para pecinta satai. Kalau pengen yang kuah-kuah, ada juga paketan sob kambing yang lengkap dengan minum juga, tipe kambing yang lembut, kuahnya ngaldur dan empuk juga loh. Nah, promo-promo ini tuh, khusus untuk makan di tempat ya, jadi buruan ajak teman dan kolega kamu ke sini, ke rumah satai usia sama rinda."
"Bakso Yang Gak Pernah Gagal ‼️
Rela jauh jauh kesini tu karna sangking enak nya bakso ini dengan kuah yang gila, pentolnya  juga tebel tebel bikin mimin relaaa datang jauh2 cuma buat bakso satu ini ✨

Bakso Az Zahra 
📍 Bengkuring sebrang smk 16
🕐 12.00 - habis selama bukan puasa
💰 15 - 25 K

#baksosamarinda #makanansmr #makanansamarinda #kulinersamarinda #smrfoodies #jalanjalanmakanenaksamarinda",444,1920,1080,https://scontent-atl3-2.cdninstagram.com/v/t51.29350-15/433397370_439404018514849_664166252737554081_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QGKR0ILiOfbJx3K1dbs6sUq2zKBjFJkFa0u60iiH0T3cJnEMorgs6mbIR0Hg7CXkog&_nc_ohc=oyYUN7-y570Q7kNvwFq2oJ9&_nc_gid=lqfHx4eKB9B5ytjbPzMfYg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJh4YkD61aJZ4UG2MXARqYyuF0gd1tlM9lUe_iHDHdb4Q&oe=6830B9A0&_nc_sid=10d13b,3324726789053133299,https://www.instagram.com/jalanjalan.makanenak/,17992,2332659232,jalanjalan.makanenak,C4jzWZEvLHz,2024-03-16T03:08:32.000Z,Video,https://www.instagram.com/p/C4jzWZEvLHz/,Bengkuring sebrang smk 16,12.00 - habis selama bukan puasa,"#baksosamarinda, #makanansmr, #makanansamarinda, #kulinersamarinda, #smrfoodies, #jalanjalanmakanenaksamarinda"," dari awal final sampai sekarang, Baksud suatu ini ga pernah sepi sama sekali sudah nambah stok untuk buka sampai malam tetap aja selalu kehabisan sebelum sore sebelumnya kembali lagi ke Jalan Jalan makan enak ya aku lagi ada di Baksud Ajaahra Baksud dengan kuat pedas terbaik yang ga pernah kehilangan pelangganya ini Baksud disini itu selain murah porsinya juga banyak banget kuatnya ngaldu bisa dua rasa mau yang original atau yang pedas banget kaya gini ini aku pesan yang 25 ribu udah dapet dua pentel gede banyak pentel kecil, tahu, gelipik dan juga tetelan bisa juga rekuis untuk pakai igat pentelnya benar-benar full daging saking enaknya aku selalu realar jauh-jauh dari Samarinda Kota ke sini cuma buat nyobain Baksud satu ini selamat bulan puasa mereka buka dari siang sampai malam lokasi nya ada di Bangkuring pas di sebrangnya SNK 16 Samarinda ini lisarga nya silahkan di screenshot langsung aja di sikat, selamat mencoba dan sampai ketemu di video selanjutnya"
"Nih pecinta masakan khas melayu harusnya suka sih sama masakan di @temanbaik_vorvo tipe nasi lemak yang unik dengan sambal bilisnya yang merah merona khas pedas segar gitu loh, cobain deh ✨

@temanbaik_vorvo 
📍 Jl. Cempedak Belakang Lapangan Voli Vorvo 

#kulinersamarinda #makanansmr #makanansamarinda #smrfoodies #foodsamarinda #jalanjalanmakanenaksamarinda #warungsamarinda #lalapansamarinda",2,1136,640,https://instagram.fbhk1-1.fna.fbcdn.net/v/t51.2885-15/491433765_707420608441511_5524293012324999445_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fbhk1-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QEBiQYz9qBR7Nh14prpGNQ2vJGzOPxY6UyFT4cAI9nhW0s32ftqIeFpZmhR34xtv1qbJIgL_6tp6ajtEoN51YBs&_nc_ohc=G_QzFVsEQyUQ7kNvwF_QmeL&_nc_gid=vZHOZPr6zFZBvPQLSbgDOA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfK4nAJ0D3EofQqw3Cp_TmOGodxhUalbN8q2sZj6nUHbdA&oe=6830C860&_nc_sid=10d13b,3632235444806050559,https://www.instagram.com/jalanjalan.makanenak/,138,2332659232,jalanjalan.makanenak,DJoSuSEP2L_,2025-05-14T09:52:18.000Z,Video,https://www.instagram.com/p/DJoSuSEP2L_/,Jl. Cempedak Belakang Lapangan Voli Vorvo,,"#kulinersamarinda, #makanansmr, #makanansamarinda, #smrfoodies, #foodsamarinda, #jalanjalanmakanenaksamarinda, #warungsamarinda, #lalapansamarinda"," Perpaduan surgawi antara nasi pulen yang dimasak dengan santan kental ditambah aroma rendang yang menggoda atau penyetan dori dengan sambal bilis yang merah menyala jujur ngeditnya saja sambil nahan lapar loh, semuanya kembali lagi ke Jalan Jalan Makan enak ya ini dia nasi lemak teman baik meskipun khas melayo dengan bumbu modern yang lebih unik mereka tuh punya menu mulai dari 13 ribuan aja loh tapi kalau mau yang koprit aku saranin pesan yang nasi lemak rendang dagingnya campuran telur rubus, ikan bilis atau teri, kacang goreng, sambal, dan kerupuk plus rendang daging yang bumbunya cukup strong bisa loh jadi pilihan kalian kalau mampir ke tempat satu inik juaranya di sini tuh ada serba penyek sambal bilis sambal yang pedas, fres dan panas dari wajan ditumpah barengan ikan teri terus tuh pake dori yang empuk, gampang hancur gitu miret dari istriku malah 10.000 buat sambalnya karena dia suka banget makan pake nasi hangat plus rendang bikin lapar itu jadi makin meningkat kalau gak suka nasi lemak tenang aja di sini juga tersedia nasi putih buat opsi kali dia punya dengan harga yang terjangkau tempat yang luas dan nyaman lokasinya ada di jalan cempedak gak jauh dari lapangan foli satu inikin jadi jangan lupa mampir ke nasi lemak teman baik sama rinda"
"Asli disini uang didompet cuma kepake buat bayar parkir doang, parkir pun juga bisa pake qris 😂

#pov #jakarta #hidup #kuliner #makanan",0,1136,640,https://instagram.fmli1-1.fna.fbcdn.net/v/t51.2885-15/498551598_681531704763125_1640092301564530864_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fmli1-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QGkngUdZBODp9upVWb8PXuBfogkGximRbtkdZ4Fu1ldhIbKGDqAxDCO6Wbgv9tfCmo&_nc_ohc=3aGj0ibWAFkQ7kNvwE1xAHL&_nc_gid=dl-UaFTA_7vLKnWHoih0rA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfLxsCC8nE94VH8XPpkVvRgXFHmmUf1qDv4rmkrD1csCJA&oe=6830D75B&_nc_sid=10d13b,3635852808273421584,https://www.instagram.com/jalanjalan.makanenak/,3,2332659232,jalanjalan.makanenak,DJ1JN2UvmUQ,2025-05-19T09:38:39.000Z,Video,https://www.instagram.com/p/DJ1JN2UvmUQ/,,,"#pov, #jakarta, #hidup, #kuliner, #makanan"," You can ask the flowers, I sit for hours Telling all the bluebirds, the pill and coo birds Pretty little baby, I'm s-"
"Nih tempat malam mingguan asik dengan city view yang keren ‼️
Ini tempatnya ada di @f3coffe_and_city_view disini punya berbagai varian menu makanan dan coffe yang enak, punya pemandangan yang indah buat ngeliat keseluruhan kota samarinda, semakin senja nongki disini semakin kerenn, yuk langsung disikat bareng teman dan keluarga kamu ✨

F3 Coffe & City View
📍 Jl. Teuku Umar
🕐 10.00 - 23.00
💰 tertera di video

#kopisamarinda #makanansmr #makanansamarinda #kulinersamarinda #smrfoodies #jajanansamarinda #cafesamarinda #jalanjalanmakanenaksamarinda",247,1920,1080,https://scontent-man2-1.cdninstagram.com/v/t51.29350-15/411179064_895697218550385_848992735467037755_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QHB9xmEgyUfMMXm5T-BMptniXQUE3RlWQCzr2sCnpl5OwOw85ycfMfzihdvikBc66G8KGOxDCI-8eucBiL_cDSF&_nc_ohc=DWuNK9jaw1IQ7kNvwGuExBI&_nc_gid=EsjMbUfK_fkEYfbDLYPZ8A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfKvn-tVZMIWW81fpH4KISZ7htxDZeILQjNUdbiGwyPETw&oe=6830C2F2&_nc_sid=10d13b,3258736533305249251,https://www.instagram.com/jalanjalan.makanenak/,8929,2332659232,jalanjalan.makanenak,C05W5yMP03j,2023-12-16T01:58:21.000Z,Video,https://www.instagram.com/p/C05W5yMP03j/,Jl. Teuku Umar,10.00 - 23.00,"#kopisamarinda, #makanansmr, #makanansamarinda, #kulinersamarinda, #smrfoodies, #jajanansamarinda, #cafesamarinda, #jalanjalanmakanenaksamarinda"," kalau bingung malam bingguan kemana, mending mampir ke sini aja tempatnya keren, makanannya pariative dan semakin senja semakin asik sebelumnya, kembali lagi ke Jalan Jangan makan enak ya jadi kemarin kami mampir ke F3 Koffee, lokasinya ada di Jalan Teko Umar gampangnya bisa sersaja di Google Maps dengan keyword 1 ini serai untuk tempat Koffee, di sini juga punya cTVu yang indah banget dari atas bisa ngeliat pemandangan kota sama rindah secara keseluruhan kalau ke sini, memang saranin datang pas sore aja karena memang suasanannya senyaman itu buat yang muslim, ga usah wathir menikmati senja karena udah ada mgusola juga langsung aja ke pesanan yang pertama memin pesan best sellernya yaitu ayam saus mentega dan beef bulgogi rasanya pedes dan bumbu yang cukup strong tapi ngeblend banget kalau di combine sama nasinya terus untuk cemilan ada pisang keju dan tau cabai garam yang wajib banget kalian cobain di sini dan untuk minuman, ada kopi pandan, ini kopinya enak, manis dan wangi juga lalu ada red velvet boba dan nutella mink brand buat yang suka manis-manis terakhir ada mink night blue yang ngegerin banget ditenggorokan harganya terjangkau bisa kalian cek aja di sini nih langsung aja di sikat, selamat mencoba dan sampai ketemu di video selanjutnya"
"Bakso andalan dari jaman kuliah nih, paling suka sama kuahnya yang ngaldu banget apalagi kombinasi tetelan dan keripiknya tu yang bikin jadi pengen ngunyah terus ✨

Bakso Anugerah 
📍 Jl. Stadion Barat Belakang Gor Segiri 
🕐 11.00 - habis 

#makanansmr #baksosamarinda #kulinersamarinda #smrfoodies #foodsamarinda #warungsamarinda #jalanjalanmakanenaksamarinda",7,1136,640,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/496819879_3929803623948360_9014735533117006450_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QF2S3WLd8yYymgYAQsovZu8a7jBJCPQ5kIFbLb7B3tMn8EE3PMhZvrz03ZH441hqZ3PjXt_GmMEQSoVtEOedHb0&_nc_ohc=no7KKPz4opcQ7kNvwHpqARK&_nc_gid=X5PUB6KKKuYfjNIGkkUbMg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJrMMeFWpwQcyfX5Fuxj7cJI5rCj4QyBMt3cFZLgAvVjw&oe=6830C498&_nc_sid=10d13b,3629309645253717425,https://www.instagram.com/jalanjalan.makanenak/,557,2332659232,jalanjalan.makanenak,DJd5eS5Py2x,2025-05-10T08:59:16.000Z,Video,https://www.instagram.com/p/DJd5eS5Py2x/,Jl. Stadion Barat Belakang Gor Segiri,11.00 - habis,"#makanansmr, #baksosamarinda, #kulinersamarinda, #smrfoodies, #foodsamarinda, #warungsamarinda, #jalanjalanmakanenaksamarinda", masih ingat ketika pertama kali nyobain bakso ini tuh kita sampai pakai nomor anterian di bawah pohon bambu karena saking ramainya dan saking bandatnya penggemar bakso 1 ini tapi sekarang mereka udah punya tempat yang lebih prefer lebih bagus dan pastinya lebih nyaman sebelumnya kembali lagi jalan-jalan makan enak namanya bakso anugrah ini tuh dulu posisinya ada pas di belakang gor segiri di sekitaran pohon bambu tapi sekarang agak sedikit maju di jalan stadion Barat kalau kalian naik belakang gor segiri pasti bakal memuinkan bakso 1 ini yang paling uang dari bakso ini tuh kuahnya yang ngadu banget terus sambalnya yang merah merona tapi bikin lagi gitu loh apalagi kripik bakso nya yang begitu diaduk barengan dengan kuahnya bikin jadi makin mantap belum lagi ada titilan dan tahunya yang berpadu padan menjadi satu kalau kalian pecinta bakso pasti gak akan asing dengan rasa bakso 1 ini terakhir aku beli bakso ini tuh harganya sekitar 15 sampai 20 ribuan jadi jangan lupa mampir ke bakso anugrah sama rinda
"Habis hujan makan bakso kuah pedes double pentol definisi nikmat yang sesungguhnya sih emang ✨

@bakso_azzahra_bengkuring 
📍 Bengkuring Seberang SMk 16 
🕐 10.00 - 21.00
💵 Mulai 15 Ribuan 

#baksosamarinda #makanansmr #makanansamarinda #kulinersamarinda #smrfoodies #foodsamarinda #warungsamarinda #jalanjalanmakanenaksamarinda",38,1136,640,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/497139247_1855804421865493_8045074957802994622_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QFI32moxgJimh12Qv9qWowE8vJgiTSUW_fs8k87tWkjYu_FCtZ-0uZT1KygFW3WTLw&_nc_ohc=c7iG0w8wfwUQ7kNvwFoyjgW&_nc_gid=zgOdk1-LM1jFy-SLWNWgzQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJyRqh8d92J0y7csQVGpjKlLoBn4yRhdkXELJpOkvQtBQ&oe=6830D399&_nc_sid=10d13b,3630586514997376338,https://www.instagram.com/jalanjalan.makanenak/,1374,2332659232,jalanjalan.makanenak,DJibzMgvfVS,2025-05-12T03:16:43.000Z,Video,https://www.instagram.com/p/DJibzMgvfVS/,Bengkuring Seberang SMk 16,10.00 - 21.00,"#baksosamarinda, #makanansmr, #makanansamarinda, #kulinersamarinda, #smrfoodies, #foodsamarinda, #warungsamarinda, #jalanjalanmakanenaksamarinda"," habis ujan gini emang paling mantap makan bakso kuahnya pedes, double pentol, dan bakso ini tuh adalah bakso yang selalu jadi favorit aku di Samarinda sebelumnya kembali lagi ke Jalan Jalan maka enak ya seperti biasa ini tuh namanya bakso ajarah bakso yang gak pernah sepi karena murah meriah tapi porsinya juga banyak sekarang mereka udah sistem prasmanan tapi kita juga bisa request ke abangnya buat diambilin sesuai porsi yang kita mau nah aku paling suka sama kuah pedesnya tapi lebih mantap dibix dengan kuah kadunya biar balance aja gitu sama baksonya disini tuh full urat gitu loh jadi bukan yang dominan tepung tapi emang dominan daging wajar aja sih bakso ini tuh selalu ramai bahkan gak jarang loh tutup sebelum malam karena kehabisan kalau kalian mau coba lo kesinya ada di Jalan Bengkuring di sebrangnya Semkan 16 atau Lapangan Bola jadi selamat mencoba dan jangan lupa mampir"
"Mimoo donat ada versi lucuk @mimoodonat kemaren nyobain donat mini mereka yang 1 kotak besarnya cuma 50 ribu aja dan kotak kecilnya 15 ribu doang, worth it parah apalagi tekstur donat mereka itu pluffy banget dengan berbagai toping dan cocolan yang bisa kalian coba ✨

@mimoodonat 
📍 Jl. Aw syahrani seberang kelurahan gunung kelua samping gg 55 

#donatsamarinda #makanansmr #makanansamarinda #kulinersamarinda #smrfoodies #foodsamarinda #cemilansamarinda #jajanansamarinda",2,1136,640,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/491420614_658789240263722_2263021889037240172_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QGNnQsT-cLZjBR7jeEg3DzJRqrAPaSJ7HBpVPdKFtPr-TtGdrOzhZeagRqjWupkUPM&_nc_ohc=NaW-vz1fM98Q7kNvwFwSxKr&_nc_gid=J30-bOmHcpSg5Y0ftbnOrQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfIOm0ZxTwgjV0thOzF_-FvMbC6Sd5ZzYESO53lY6XPmTA&oe=6830CED2&_nc_sid=10d13b,3625018776321257407,https://www.instagram.com/jalanjalan.makanenak/,183,2332659232,jalanjalan.makanenak,DJOp17yv--_,2025-05-04T10:56:35.000Z,Video,https://www.instagram.com/p/DJOp17yv--_/,Jl. Aw syahrani seberang kelurahan gunung kelua samping gg 55,,"#donatsamarinda, #makanansmr, #makanansamarinda, #kulinersamarinda, #smrfoodies, #foodsamarinda, #cemilansamarinda, #jajanansamarinda", percaya nggak kalau donut mini kayak gini tuh mulai dari 15 ribuan aja definisi kecil-kecil cabai rawit sekalipun makan tuh langsung pecah di munut sebelumnya kembali lagi ke jalan-jalan makan enak ya di mana lagi kalau bukan di Nimo Donut salah satu outlet donut yang jadi favorit aku ini tuh baru ajang ngeluarin menubah yang itu donut susu mini yang ngasih kebebasan kalian buat mix and mix merbagi topping serta cecolat mereka tapi aku saranin kalau beli sekalian yang versi family pack kayak gini aja deh kalian bisa dapetin versi lengkap dari berbagai cecolan dan topping mereka dengan cuma 50 ribu aja loh dengan total 20 donut setiap donut itu punya creamy inset gitu terus juga teksturnya plavi jadi creamy di dalam dan manis di luar tapi tetap balance aja gitu favorit aku ada di originalnya yang punya tekstur salju gitu sama almon vanilla dengan tekstur crunchy tapi tetap light di mula kalau kalian buat sendiri bisa juga pesan personal pack yang cuma 15 ribu aja total ada 6 donut susu mini yang bisa kalian pilih versi kalian mereka juga menjual pizza panjang yang bisa kalian cek detail harganya di sini lokasinya ada di jalan awes saharani samping gang 55 atau tepat di sebrang kantor kelurahan gunung ke luar jadi jangan lupa mampir ke Mewmo Donut Saba Rinda
